Read1,Read2,UmiRead,SampleName,ReadGroup,Library,SourceMaterial,PlatformUnit,SequencingPlatform,PlatformModel,SequencingCentre,SequencingDate,SLXId,Barcode,Flowcell,Lane,EndType,ReadLength,Index Type,Library Type
SLX-13223.D701_D503.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D701_D503.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5712_pla,NA,SLX-13223.D701-D503,SLX-13223.D701-D503,HHNTWBBXX.7.D701-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D701-D503,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13223.D701_D504.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D701_D504.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5713_pla,NA,SLX-13223.D701-D504,SLX-13223.D701-D504,HHNTWBBXX.7.D701-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D701-D504,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D702_D503.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D702_D503.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_001_20014_EOS,NA,SLX-13227.D702-D503,SLX-13227.D702-D503,CBMJTANXX.1.D702-D503,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D702-D503,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D702_D501.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D702_D501.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5742_pla,NA,SLX-13223.D702-D501,SLX-13223.D702-D501,HHNTWBBXX.7.D702-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D702-D501,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D702_D502.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D702_D502.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_001_20014_C1D1,NA,SLX-13227.D702-D502,SLX-13227.D702-D502,CBMJTANXX.1.D702-D502,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D702-D502,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D702_D502.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D702_D502.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5743_pla,NA,SLX-13223.D702-D502,SLX-13223.D702-D502,HHNTWBBXX.7.D702-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D702-D502,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13223.D702_D503.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D702_D503.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5754_pla,NA,SLX-13223.D702-D503,SLX-13223.D702-D503,HHNTWBBXX.7.D702-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D702-D503,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D704_D506.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D704_D506.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_004_20014_C1D1,NA,SLX-13227.D704-D506,SLX-13227.D704-D506,CBMJTANXX.1.D704-D506,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D704-D506,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13227.D704_D505.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D704_D505.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_004_20011_C12D1,NA,SLX-13227.D704-D505,SLX-13227.D704-D505,CBMJTANXX.1.D704-D505,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D704-D505,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13227.D705_D506.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D705_D506.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_004_20016_SCR,NA,SLX-13227.D705-D506,SLX-13227.D705-D506,CBMJTANXX.1.D705-D506,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D705-D506,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13227.D704_D508.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D704_D508.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_004_20015_C1D1,NA,SLX-13227.D704-D508,SLX-13227.D704-D508,CBMJTANXX.1.D704-D508,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D704-D508,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13621.D710_D501.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D710_D501.HKJJFBBXX.s_3.r_2.fq.gz,NA,112_T1_pre,NA,SLX-13621.D710-D501,SLX-13621.D710-D501,HKJJFBBXX.3.D710-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D710-D501,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D711_D501.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D711_D501.HKJJFBBXX.s_3.r_2.fq.gz,NA,75_T1_pre,NA,SLX-13621.D711-D501,SLX-13621.D711-D501,HKJJFBBXX.3.D711-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D711-D501,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D712_D501.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D712_D501.HKJJFBBXX.s_3.r_2.fq.gz,NA,72_T1_pre,NA,SLX-13621.D712-D501,SLX-13621.D712-D501,HKJJFBBXX.3.D712-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D712-D501,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D701_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D701_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,74_T1_pre,NA,SLX-13621.D701-D502,SLX-13621.D701-D502,HKJJFBBXX.3.D701-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D701-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D702_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D702_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,127_T1_pre,NA,SLX-13621.D702-D502,SLX-13621.D702-D502,HKJJFBBXX.3.D702-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D702-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-11904.D710_D503.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D710_D503.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:2494,NA,SLX-11904.D710-D503,SLX-11904.D710-D503,HCL2WBBXX.8.D710-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D710-D503,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13621.D703_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D703_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,30_T1_pre,NA,SLX-13621.D703-D502,SLX-13621.D703-D502,HKJJFBBXX.3.D703-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D703-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D704_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D704_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5180_pre,NA,SLX-13621.D704-D502,SLX-13621.D704-D502,HKJJFBBXX.3.D704-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D704-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-11904.D710_D501.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D710_D501.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:727,NA,SLX-11904.D710-D501,SLX-11904.D710-D501,HCL2WBBXX.8.D710-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D710-D501,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13621.D705_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D705_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5027_pre,NA,SLX-13621.D705-D502,SLX-13621.D705-D502,HKJJFBBXX.3.D705-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D705-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-11904.D710_D502.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D710_D502.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:1556,NA,SLX-11904.D710-D502,SLX-11904.D710-D502,HCL2WBBXX.8.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D710-D502,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13621.D706_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D706_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5595_pre,NA,SLX-13621.D706-D502,SLX-13621.D706-D502,HKJJFBBXX.3.D706-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D706-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-11904.D709_D507.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D507.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:347,NA,SLX-11904.D709-D507,SLX-11904.D709-D507,HCL2WBBXX.8.D709-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D507,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13621.D707_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D707_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5599_pre,NA,SLX-13621.D707-D502,SLX-13621.D707-D502,HKJJFBBXX.3.D707-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D707-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-11904.D709_D508.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D508.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:686,NA,SLX-11904.D709-D508,SLX-11904.D709-D508,HCL2WBBXX.8.D709-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D508,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-11904.D709_D505.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D505.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:447,NA,SLX-11904.D709-D505,SLX-11904.D709-D505,HCL2WBBXX.8.D709-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D505,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-11904.D709_D506.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D506.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:559,NA,SLX-11904.D709-D506,SLX-11904.D709-D506,HCL2WBBXX.8.D709-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D506,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-11904.D709_D503.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D503.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:292,NA,SLX-11904.D709-D503,SLX-11904.D709-D503,HCL2WBBXX.8.D709-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D503,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13223.D702_D504.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D702_D504.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5755_pla,NA,SLX-13223.D702-D504,SLX-13223.D702-D504,HHNTWBBXX.7.D702-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D702-D504,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11904.D709_D504.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D504.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:362,NA,SLX-11904.D709-D504,SLX-11904.D709-D504,HCL2WBBXX.8.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D504,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13223.D703_D501.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D703_D501.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5203_pla,NA,SLX-13223.D703-D501,SLX-13223.D703-D501,HHNTWBBXX.7.D703-D501,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D703-D501,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11904.D710_D504.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D710_D504.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:2666,NA,SLX-11904.D710-D504,SLX-11904.D710-D504,HCL2WBBXX.8.D710-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D710-D504,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13227.D710_D502.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D710_D502.CBMJTANXX.s_1.r_2.fq.gz,NA,A4_CAL0030_10x,NA,SLX-13227.D710-D502,SLX-13227.D710-D502,CBMJTANXX.1.D710-D502,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D710-D502,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D703_D502.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D703_D502.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5205_pla,NA,SLX-13223.D703-D502,SLX-13223.D703-D502,HHNTWBBXX.7.D703-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D703-D502,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11904.D710_D505.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D710_D505.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:2788,NA,SLX-11904.D710-D505,SLX-11904.D710-D505,HCL2WBBXX.8.D710-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D710-D505,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13227.D712_D501.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D712_D501.CBMJTANXX.s_1.r_2.fq.gz,NA,A3_CAL0030_5x,NA,SLX-13227.D712-D501,SLX-13227.D712-D501,CBMJTANXX.1.D712-D501,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D712-D501,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D703_D503.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D703_D503.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5342_pla,NA,SLX-13223.D703-D503,SLX-13223.D703-D503,HHNTWBBXX.7.D703-D503,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D703-D503,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D712_D502.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D712_D502.CBMJTANXX.s_1.r_2.fq.gz,NA,A6_CAL0030_20x,NA,SLX-13227.D712-D502,SLX-13227.D712-D502,CBMJTANXX.1.D712-D502,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D712-D502,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D703_D504.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D703_D504.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5343_pla,NA,SLX-13223.D703-D504,SLX-13223.D703-D504,HHNTWBBXX.7.D703-D504,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D703-D504,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D711_D502.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D711_D502.CBMJTANXX.s_1.r_2.fq.gz,NA,A5_CAL0030_15x,NA,SLX-13227.D711-D502,SLX-13227.D711-D502,CBMJTANXX.1.D711-D502,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D711-D502,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D704_D505.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D704_D505.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5507_pla,NA,SLX-13223.D704-D505,SLX-13223.D704-D505,HHNTWBBXX.7.D704-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D704-D505,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D705_D507.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D705_D507.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_004_20013_SCR,NA,SLX-13227.D705-D507,SLX-13227.D705-D507,CBMJTANXX.1.D705-D507,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D705-D507,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D704_D506.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D704_D506.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5508_pla,NA,SLX-13223.D704-D506,SLX-13223.D704-D506,HHNTWBBXX.7.D704-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D704-D506,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13223.D704_D507.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D704_D507.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5288_pla,NA,SLX-13223.D704-D507,SLX-13223.D704-D507,HHNTWBBXX.7.D704-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D704-D507,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D711_D501.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D711_D501.CBMJTANXX.s_1.r_2.fq.gz,NA,A2_CAL0030,NA,SLX-13227.D711-D501,SLX-13227.D711-D501,CBMJTANXX.1.D711-D501,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D711-D501,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D704_D508.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D704_D508.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5289_pla,NA,SLX-13223.D704-D508,SLX-13223.D704-D508,HHNTWBBXX.7.D704-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D704-D508,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D705_D508.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D705_D508.CBMJTANXX.s_1.r_2.fq.gz,NA,RAD_004_20010_C1D1,NA,SLX-13227.D705-D508,SLX-13227.D705-D508,CBMJTANXX.1.D705-D508,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D705-D508,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13223.D705_D505.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D705_D505.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5432_pla,NA,SLX-13223.D705-D505,SLX-13223.D705-D505,HHNTWBBXX.7.D705-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D705-D505,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13227.D711_D503.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D711_D503.CBMJTANXX.s_1.r_2.fq.gz,NA,A8_CAL0030_225x,NA,SLX-13227.D711-D503,SLX-13227.D711-D503,CBMJTANXX.1.D711-D503,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D711-D503,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13227.D710_D503.CBMJTANXX.s_1.r_1.fq.gz,SLX-13227.D710_D503.CBMJTANXX.s_1.r_2.fq.gz,NA,A7_CAL0030_45x,NA,SLX-13227.D710-D503,SLX-13227.D710-D503,CBMJTANXX.1.D710-D503,ILLUMINA,HiSeq 2500,CRUK-CI,2018-01-15,SLX-13227,D710-D503,CBMJTANXX,1,Paired End,75,Truseq HT,Other
SLX-13621.D708_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D708_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5611_pre,NA,SLX-13621.D708-D502,SLX-13621.D708-D502,HKJJFBBXX.3.D708-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D708-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D709_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D709_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5477_pre,NA,SLX-13621.D709-D502,SLX-13621.D709-D502,HKJJFBBXX.3.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D709-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13621.D710_D502.HKJJFBBXX.s_3.r_1.fq.gz,SLX-13621.D710_D502.HKJJFBBXX.s_3.r_2.fq.gz,NA,JBLAB-5632_pre,NA,SLX-13621.D710-D502,SLX-13621.D710-D502,HKJJFBBXX.3.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2017-06-19,SLX-13621,D710-D502,HKJJFBBXX,3,Paired End,150,Truseq HT,Other
SLX-13223.D705_D506.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D705_D506.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5433_pla,NA,SLX-13223.D705-D506,SLX-13223.D705-D506,HHNTWBBXX.7.D705-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D705-D506,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13223.D705_D507.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D705_D507.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5420_pla,NA,SLX-13223.D705-D507,SLX-13223.D705-D507,HHNTWBBXX.7.D705-D507,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D705-D507,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13223.D705_D508.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D705_D508.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5422_pla,NA,SLX-13223.D705-D508,SLX-13223.D705-D508,HHNTWBBXX.7.D705-D508,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D705-D508,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13223.D706_D505.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D706_D505.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5471_pla,NA,SLX-13223.D706-D505,SLX-13223.D706-D505,HHNTWBBXX.7.D706-D505,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D706-D505,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-11904.D709_D502.HCL2WBBXX.s_8.r_1.fq.gz,SLX-11904.D709_D502.HCL2WBBXX.s_8.r_2.fq.gz,NA,PLS:442,NA,SLX-11904.D709-D502,SLX-11904.D709-D502,HCL2WBBXX.8.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,2016-06-27,SLX-11904,D709-D502,HCL2WBBXX,8,Paired End,150,Truseq HT,DNASeq
SLX-13223.D706_D506.HHNTWBBXX.s_7.r_1.fq.gz,SLX-13223.D706_D506.HHNTWBBXX.s_7.r_2.fq.gz,NA,JBLAB_5472_pla,NA,SLX-13223.D706-D506,SLX-13223.D706-D506,HHNTWBBXX.7.D706-D506,ILLUMINA,HiSeq 4000,CRUK-CI,2017-02-13,SLX-13223,D706-D506,HHNTWBBXX,7,Paired End,150,Truseq HT,DNASeq
SLX-13222.D701dna_D503dna.HW2LLBBXX.s_1.r_1.fq.gz,SLX-13222.D701dna_D503dna.HW2LLBBXX.s_1.r_2.fq.gz,NA,ctlbatch2_nosz_3,NA,SLX-13222.D701dna-D503dna,SLX-13222.D701dna-D503dna,HW2LLBBXX.1.D701dna-D503dna,ILLUMINA,HiSeq 4000,CRUK-CI,2018-06-12,SLX-13222,D701dna-D503dna,HW2LLBBXX,1,Paired End,150,Truseq DNA CD,Other
SLX-13222.D701dna_D502dna.HW2LLBBXX.s_1.r_1.fq.gz,SLX-13222.D701dna_D502dna.HW2LLBBXX.s_1.r_2.fq.gz,NA,ctlbatch2_nosz_2,NA,SLX-13222.D701dna-D502dna,SLX-13222.D701dna-D502dna,HW2LLBBXX.1.D701dna-D502dna,ILLUMINA,HiSeq 4000,CRUK-CI,2018-06-12,SLX-13222,D701dna-D502dna,HW2LLBBXX,1,Paired End,150,Truseq DNA CD,Other
SLX-13222.D701dna_D501dna.HW2LLBBXX.s_1.r_1.fq.gz,SLX-13222.D701dna_D501dna.HW2LLBBXX.s_1.r_2.fq.gz,NA,ctlbatch2_nosz_1,NA,SLX-13222.D701dna-D501dna,SLX-13222.D701dna-D501dna,HW2LLBBXX.1.D701dna-D501dna,ILLUMINA,HiSeq 4000,CRUK-CI,2018-06-12,SLX-13222,D701dna-D501dna,HW2LLBBXX,1,Paired End,150,Truseq DNA CD,Other
SLX-13222.D702dna_D503dna.HW2LLBBXX.s_1.r_1.fq.gz,SLX-13222.D702dna_D503dna.HW2LLBBXX.s_1.r_2.fq.gz,NA,ctlbatch2_nosz_7,NA,SLX-13222.D702dna-D503dna,SLX-13222.D702dna-D503dna,HW2LLBBXX.1.D702dna-D503dna,ILLUMINA,HiSeq 4000,CRUK-CI,2018-06-12,SLX-13222,D702dna-D503dna,HW2LLBBXX,1,Paired End,150,Truseq DNA CD,Other
SLX-13222.D702dna_D502dna.HW2LLBBXX.s_1.r_1.fq.gz,SLX-13222.D702dna_D502dna.HW2LLBBXX.s_1.r_2.fq.gz,NA,ctlbatch2_nosz_6,NA,SLX-13222.D702dna-D502dna,SLX-13222.D702dna-D502dna,HW2LLBBXX.1.D702dna-D502dna,ILLUMINA,HiSeq 4000,CRUK-CI,2018-06-12,SLX-13222,D702dna-D502dna,HW2LLBBXX,1,Paired End,150,Truseq DNA CD,Other
