Read1,Read2,UmiRead,SampleName,ReadGroup,Library,SourceMaterial,PlatformUnit,SequencingPlatform,PlatformModel,SequencingCentre,SequencingDate,SLXId,Barcode,Flowcell,Lane,EndType,ReadLength,Library Type,Index Type
SLX-13900.D711_D503.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D711_D503.HKCTNBBXX.s_4.r_2.fq.gz,,renal_11_5401_plasma_old,,SLX-13900.D711-D503,SLX-13900.D711-D503,HKCTNBBXX.4.D711-D503,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D711-D503,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D711_D503.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D711_D503.HVK3YBBXX.s_2.r_2.fq.gz,,renal_11_5401_plasma_old,,SLX-13900.D711-D503,SLX-13900.D711-D503,HVK3YBBXX.2.D711-D503,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D711-D503,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D711_D502.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D711_D502.HKCTNBBXX.s_4.r_2.fq.gz,,renal_10_5813_plasma_old,,SLX-13900.D711-D502,SLX-13900.D711-D502,HKCTNBBXX.4.D711-D502,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D711-D502,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D711_D502.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D711_D502.HVK3YBBXX.s_2.r_2.fq.gz,,renal_10_5813_plasma_old,,SLX-13900.D711-D502,SLX-13900.D711-D502,HVK3YBBXX.2.D711-D502,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D711-D502,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11034.A027.C8B9UANXX.s_8.r_1.fq.gz,SLX-11034.A027.C8B9UANXX.s_8.r_2.fq.gz,,CAL0002_EOS,,SLX-11034.A027,SLX-11034.A027,C8B9UANXX.8.A027,ILLUMINA,HiSeq 2500,CRUK-CI,22/12/2015,SLX-11034,A027,C8B9UANXX,8,Paired End,125,DNASeq,Truseq LT
SLX-11034.A025.C8B9UANXX.s_8.r_1.fq.gz,SLX-11034.A025.C8B9UANXX.s_8.r_2.fq.gz,,CAL0002_W6,,SLX-11034.A025,SLX-11034.A025,C8B9UANXX.8.A025,ILLUMINA,HiSeq 2500,CRUK-CI,22/12/2015,SLX-11034,A025,C8B9UANXX,8,Paired End,125,DNASeq,Truseq LT
SLX-11034.A023.C8B9UANXX.s_8.r_1.fq.gz,SLX-11034.A023.C8B9UANXX.s_8.r_2.fq.gz,,CAL0002_W2,,SLX-11034.A023,SLX-11034.A023,C8B9UANXX.8.A023,ILLUMINA,HiSeq 2500,CRUK-CI,22/12/2015,SLX-11034,A023,C8B9UANXX,8,Paired End,125,DNASeq,Truseq LT
SLX-11034.A022.C8B9UANXX.s_8.r_1.fq.gz,SLX-11034.A022.C8B9UANXX.s_8.r_2.fq.gz,,CAL0002_C1D1_H48,,SLX-11034.A022,SLX-11034.A022,C8B9UANXX.8.A022,ILLUMINA,HiSeq 2500,CRUK-CI,22/12/2015,SLX-11034,A022,C8B9UANXX,8,Paired End,125,DNASeq,Truseq LT
SLX-11383.D712_D505.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D712_D505.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_21,,SLX-11383.D712-D505,SLX-11383.D712-D505,HCHGMBBXX.4.D712-D505,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D712-D505,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D712_D507.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D712_D507.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_23,,SLX-11383.D712-D507,SLX-11383.D712-D507,HCHGMBBXX.4.D712-D507,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D712-D507,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-13900.D710_D505.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D505.HKCTNBBXX.s_4.r_2.fq.gz,,renal_15_5410_plasma_old,,SLX-13900.D710-D505,SLX-13900.D710-D505,HKCTNBBXX.4.D710-D505,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D505,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D505.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D505.HVK3YBBXX.s_2.r_2.fq.gz,,renal_15_5410_plasma_old,,SLX-13900.D710-D505,SLX-13900.D710-D505,HVK3YBBXX.2.D710-D505,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D505,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11383.D711_D508.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D711_D508.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_18,,SLX-11383.D711-D508,SLX-11383.D711-D508,HCHGMBBXX.4.D711-D508,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D711-D508,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-13900.D710_D504.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D504.HKCTNBBXX.s_4.r_2.fq.gz,,renal_13_5014_plasma_old,,SLX-13900.D710-D504,SLX-13900.D710-D504,HKCTNBBXX.4.D710-D504,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D504,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D504.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D504.HVK3YBBXX.s_2.r_2.fq.gz,,renal_13_5014_plasma_old,,SLX-13900.D710-D504,SLX-13900.D710-D504,HVK3YBBXX.2.D710-D504,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D504,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11383.D712_D504.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D712_D504.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_20,,SLX-11383.D712-D504,SLX-11383.D712-D504,HCHGMBBXX.4.D712-D504,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D712-D504,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-13900.D710_D503.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D503.HKCTNBBXX.s_4.r_2.fq.gz,,renal_7_5532_plasma_old,,SLX-13900.D710-D503,SLX-13900.D710-D503,HKCTNBBXX.4.D710-D503,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D503,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D503.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D503.HVK3YBBXX.s_2.r_2.fq.gz,,renal_7_5532_plasma_old,,SLX-13900.D710-D503,SLX-13900.D710-D503,HVK3YBBXX.2.D710-D503,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D503,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D710_D502.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D502.HKCTNBBXX.s_4.r_2.fq.gz,,renal_3_5802_plasma_old,,SLX-13900.D710-D502,SLX-13900.D710-D502,HKCTNBBXX.4.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D502,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D502.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D502.HVK3YBBXX.s_2.r_2.fq.gz,,renal_3_5802_plasma_old,,SLX-13900.D710-D502,SLX-13900.D710-D502,HVK3YBBXX.2.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D502,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11383.D711_D507.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D711_D507.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_17,,SLX-11383.D711-D507,SLX-11383.D711-D507,HCHGMBBXX.4.D711-D507,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D711-D507,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-13900.D710_D501.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D501.HKCTNBBXX.s_4.r_2.fq.gz,,renal_2_5030_plasma_old,,SLX-13900.D710-D501,SLX-13900.D710-D501,HKCTNBBXX.4.D710-D501,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D501,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D501.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D501.HVK3YBBXX.s_2.r_2.fq.gz,,renal_2_5030_plasma_old,,SLX-13900.D710-D501,SLX-13900.D710-D501,HVK3YBBXX.2.D710-D501,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D501,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D711_D506.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D711_D506.HKCTNBBXX.s_4.r_2.fq.gz,,renal_21_5812_plasma_old,,SLX-13900.D711-D506,SLX-13900.D711-D506,HKCTNBBXX.4.D711-D506,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D711-D506,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D711_D506.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D711_D506.HVK3YBBXX.s_2.r_2.fq.gz,,renal_21_5812_plasma_old,,SLX-13900.D711-D506,SLX-13900.D711-D506,HVK3YBBXX.2.D711-D506,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D711-D506,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11383.D710_D504.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D710_D504.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1650_5,,SLX-11383.D710-D504,SLX-11383.D710-D504,HCHGMBBXX.4.D710-D504,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D710-D504,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D701_D508.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D701_D508.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1639_4,,SLX-11383.D701-D508,SLX-11383.D701-D508,HCHGMBBXX.4.D701-D508,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D701-D508,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D709_D507.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D709_D507.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1650_3,,SLX-11383.D709-D507,SLX-11383.D709-D507,HCHGMBBXX.4.D709-D507,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D709-D507,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D701_D505.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D701_D505.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1639_1,,SLX-11383.D701-D505,SLX-11383.D701-D505,HCHGMBBXX.4.D701-D505,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D701-D505,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D701_D506.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D701_D506.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1639_2,,SLX-11383.D701-D506,SLX-11383.D701-D506,HCHGMBBXX.4.D701-D506,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D701-D506,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11034.A021.C8B9UANXX.s_8.r_1.fq.gz,SLX-11034.A021.C8B9UANXX.s_8.r_2.fq.gz,,CAL0002_C1D1_H24,,SLX-11034.A021,SLX-11034.A021,C8B9UANXX.8.A021,ILLUMINA,HiSeq 2500,CRUK-CI,22/12/2015,SLX-11034,A021,C8B9UANXX,8,Paired End,125,DNASeq,Truseq LT
SLX-12841.D703_D505.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D703_D505.HFNWFBBXX.s_8.r_2.fq.gz,,DK9,,SLX-12841.D703-D505,SLX-12841.D703-D505,HFNWFBBXX.8.D703-D505,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D703-D505,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-13900.D709_D502.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D709_D502.HKCTNBBXX.s_4.r_2.fq.gz,,renal_6_5799_plasma_old,,SLX-13900.D709-D502,SLX-13900.D709-D502,HKCTNBBXX.4.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D709-D502,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D709_D502.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D709_D502.HVK3YBBXX.s_2.r_2.fq.gz,,renal_6_5799_plasma_old,,SLX-13900.D709-D502,SLX-13900.D709-D502,HVK3YBBXX.2.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D709-D502,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-12841.D702_D504.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D702_D504.HFNWFBBXX.s_8.r_2.fq.gz,,DK8,,SLX-12841.D702-D504,SLX-12841.D702-D504,HFNWFBBXX.8.D702-D504,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D702-D504,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-13900.D709_D501.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D709_D501.HKCTNBBXX.s_4.r_2.fq.gz,,renal_5_5626_plasma_old,,SLX-13900.D709-D501,SLX-13900.D709-D501,HKCTNBBXX.4.D709-D501,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D709-D501,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D709_D501.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D709_D501.HVK3YBBXX.s_2.r_2.fq.gz,,renal_5_5626_plasma_old,,SLX-13900.D709-D501,SLX-13900.D709-D501,HVK3YBBXX.2.D709-D501,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D709-D501,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D710_D508.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D508.HKCTNBBXX.s_4.r_2.fq.gz,,renal_30_5842_plasma_new,,SLX-13900.D710-D508,SLX-13900.D710-D508,HKCTNBBXX.4.D710-D508,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D508,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D508.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D508.HVK3YBBXX.s_2.r_2.fq.gz,,renal_30_5842_plasma_new,,SLX-13900.D710-D508,SLX-13900.D710-D508,HVK3YBBXX.2.D710-D508,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D508,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D710_D507.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D507.HKCTNBBXX.s_4.r_2.fq.gz,,renal_29_5845_plasma_new,,SLX-13900.D710-D507,SLX-13900.D710-D507,HKCTNBBXX.4.D710-D507,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D507,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D507.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D507.HVK3YBBXX.s_2.r_2.fq.gz,,renal_29_5845_plasma_new,,SLX-13900.D710-D507,SLX-13900.D710-D507,HVK3YBBXX.2.D710-D507,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D507,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-12841.D702_D501.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D702_D501.HFNWFBBXX.s_8.r_2.fq.gz,,DK5,,SLX-12841.D702-D501,SLX-12841.D702-D501,HFNWFBBXX.8.D702-D501,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D702-D501,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-13900.D710_D506.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D710_D506.HKCTNBBXX.s_4.r_2.fq.gz,,renal_26_5826_plasma_new,,SLX-13900.D710-D506,SLX-13900.D710-D506,HKCTNBBXX.4.D710-D506,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D710-D506,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D710_D506.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D710_D506.HVK3YBBXX.s_2.r_2.fq.gz,,renal_26_5826_plasma_new,,SLX-13900.D710-D506,SLX-13900.D710-D506,HVK3YBBXX.2.D710-D506,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D710-D506,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-12841.D701_D504.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D701_D504.HFNWFBBXX.s_8.r_2.fq.gz,,DK4,,SLX-12841.D701-D504,SLX-12841.D701-D504,HFNWFBBXX.8.D701-D504,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D701-D504,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12841.D702_D503.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D702_D503.HFNWFBBXX.s_8.r_2.fq.gz,,DK7,,SLX-12841.D702-D503,SLX-12841.D702-D503,HFNWFBBXX.8.D702-D503,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D702-D503,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12841.D702_D502.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D702_D502.HFNWFBBXX.s_8.r_2.fq.gz,,DK6,,SLX-12841.D702-D502,SLX-12841.D702-D502,HFNWFBBXX.8.D702-D502,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D702-D502,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-12841.D701_D501.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D701_D501.HFNWFBBXX.s_8.r_2.fq.gz,,DK1,,SLX-12841.D701-D501,SLX-12841.D701-D501,HFNWFBBXX.8.D701-D501,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D701-D501,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-11383.D709_D501.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D709_D501.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1633_DANA_1,,SLX-11383.D709-D501,SLX-11383.D709-D501,HCHGMBBXX.4.D709-D501,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D709-D501,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D709_D504.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D709_D504.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_2,,SLX-11383.D709-D504,SLX-11383.D709-D504,HCHGMBBXX.4.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D709-D504,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-12841.D701_D503.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D701_D503.HFNWFBBXX.s_8.r_2.fq.gz,,DK3,,SLX-12841.D701-D503,SLX-12841.D701-D503,HFNWFBBXX.8.D701-D503,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D701-D503,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-11383.D709_D502.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D709_D502.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1633_DANA_5,,SLX-11383.D709-D502,SLX-11383.D709-D502,HCHGMBBXX.4.D709-D502,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D709-D502,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-12841.D701_D502.HFNWFBBXX.s_8.r_1.fq.gz,SLX-12841.D701_D502.HFNWFBBXX.s_8.r_2.fq.gz,,DK2,,SLX-12841.D701-D502,SLX-12841.D701-D502,HFNWFBBXX.8.D701-D502,ILLUMINA,HiSeq 4000,CRUK-CI,11/10/2016,SLX-12841,D701-D502,HFNWFBBXX,8,Paired End,150,DNASeq,Truseq HT
SLX-13900.D708_D501.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D708_D501.HKCTNBBXX.s_4.r_2.fq.gz,,renal_1_5597_plasma_old,,SLX-13900.D708-D501,SLX-13900.D708-D501,HKCTNBBXX.4.D708-D501,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D708-D501,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D708_D501.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D708_D501.HVK3YBBXX.s_2.r_2.fq.gz,,renal_1_5597_plasma_old,,SLX-13900.D708-D501,SLX-13900.D708-D501,HVK3YBBXX.2.D708-D501,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D708-D501,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11383.D710_D502.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D710_D502.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1633_DANA_6,,SLX-11383.D710-D502,SLX-11383.D710-D502,HCHGMBBXX.4.D710-D502,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D710-D502,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-13900.D709_D506.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D709_D506.HKCTNBBXX.s_4.r_2.fq.gz,,renal_24_5827_plasma_new,,SLX-13900.D709-D506,SLX-13900.D709-D506,HKCTNBBXX.4.D709-D506,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D709-D506,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D709_D506.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D709_D506.HVK3YBBXX.s_2.r_2.fq.gz,,renal_24_5827_plasma_new,,SLX-13900.D709-D506,SLX-13900.D709-D506,HVK3YBBXX.2.D709-D506,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D709-D506,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D709_D505.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D709_D505.HKCTNBBXX.s_4.r_2.fq.gz,,renal_22_5829_plasma_new,,SLX-13900.D709-D505,SLX-13900.D709-D505,HKCTNBBXX.4.D709-D505,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D709-D505,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D709_D505.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D709_D505.HVK3YBBXX.s_2.r_2.fq.gz,,renal_22_5829_plasma_new,,SLX-13900.D709-D505,SLX-13900.D709-D505,HVK3YBBXX.2.D709-D505,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D709-D505,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D709_D504.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D709_D504.HKCTNBBXX.s_4.r_2.fq.gz,,renal_19_5644_plasma_old,,SLX-13900.D709-D504,SLX-13900.D709-D504,HKCTNBBXX.4.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D709-D504,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D709_D504.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D709_D504.HVK3YBBXX.s_2.r_2.fq.gz,,renal_19_5644_plasma_old,,SLX-13900.D709-D504,SLX-13900.D709-D504,HVK3YBBXX.2.D709-D504,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D709-D504,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-13900.D709_D503.HKCTNBBXX.s_4.r_1.fq.gz,SLX-13900.D709_D503.HKCTNBBXX.s_4.r_2.fq.gz,,renal_17_5790_plasma_old,,SLX-13900.D709-D503,SLX-13900.D709-D503,HKCTNBBXX.4.D709-D503,ILLUMINA,HiSeq 4000,CRUK-CI,27/06/2017,SLX-13900,D709-D503,HKCTNBBXX,4,Paired End,150,Other,Truseq HT
SLX-13900.D709_D503.HVK3YBBXX.s_2.r_1.fq.gz,SLX-13900.D709_D503.HVK3YBBXX.s_2.r_2.fq.gz,,renal_17_5790_plasma_old,,SLX-13900.D709-D503,SLX-13900.D709-D503,HVK3YBBXX.2.D709-D503,ILLUMINA,HiSeq 4000,CRUK-CI,04/05/2018,SLX-13900,D709-D503,HVK3YBBXX,2,Paired End,150,Other,Truseq HT
SLX-11383.D711_D504.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D711_D504.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_14,,SLX-11383.D711-D504,SLX-11383.D711-D504,HCHGMBBXX.4.D711-D504,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D711-D504,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D711_D505.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D711_D505.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_15,,SLX-11383.D711-D505,SLX-11383.D711-D505,HCHGMBBXX.4.D711-D505,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D711-D505,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
SLX-11383.D710_D507.HCHGMBBXX.s_4.r_1.fq.gz,SLX-11383.D710_D507.HCHGMBBXX.s_4.r_2.fq.gz,,EXP1638_11,,SLX-11383.D710-D507,SLX-11383.D710-D507,HCHGMBBXX.4.D710-D507,ILLUMINA,HiSeq 4000,CRUK-CI,10/06/2016,SLX-11383,D710-D507,HCHGMBBXX,4,Paired End,150,DNASeq,Truseq HT
