file,n_read,n_nucleotide,n_read_mapped,n_nucleotide_mapped,n_read_duplicate,n_nucleotide_duplicate,n_read_mapped_chrM,coverage_by_mapped_reads
SLX-12534.D711-D507.HiSeq4000.bam,31583183,4602647711,31475754,4590613044,4967127,728919683,977,1.43456657625
SLX-11043.D704-D508.HiSeq4000.bam,26754630,3867572726,26647363,3856092811,2285292,333196540,263,1.2050290034375
SLX-12841.D704-D505.HiSeq4000.bam,41816262,5920437857,41672164,5904882481,6988049,1003581626,4313,1.8452757753125
SLX-11904.D712-D504.HiSeq4000.bam,27223402,3514272647,27147540,3506584844,2919147,388725200,4801,1.09580776375
SLX-13227.D712-D502.HiSeq2500.bam,16751169,1242153973,16654107,1236089109,230461,17139544,692,0.3862778465625
SLX-10575.iPCRtagT028.HiSeq2500.bam,7251845,846959774,7178468,840322277,42670,5068400,12729,0.2626007115625
SLX-12531.D708-D504.HiSeq4000.bam,28609625,4142240078,28464138,4126654883,7131422,1039914123,914,1.2895796509375
SLX-13223.D705-D506.HiSeq4000.bam,23055435,3317697479,22870993,3298834525,3332764,482964446,328,1.0308857890625
SLX-11042.D704-D502.HiSeq4000.bam,21400035,3091164468,21284570,3079190984,1044826,151891338,409,0.9622471825
SLX-12839.D702-D501.HiSeq4000.bam,15924846,2332324585,15856306,2325027998,2127926,313063864,697,0.726571249375
SLX-10572.D707-D502.HiSeq2500.bam,910114,110730222,899853,109861015,2295,282250,17,0.0343315671875
SLX-10575.iPCRtagT020.HiSeq2500.bam,19651104,2281889358,19518854,2270569993,55233,6520947,12095,0.7095531228125
SLX-12759.D708-D508.HiSeq4000.bam,13572010,1945198894,13491514,1936720636,2677570,389397516,4808,0.60522519875
SLX-13900.D705-D502.HiSeq4000.bam,21556749,2929849816,21398944,2916252601,4908154,688858613,8274,0.9113289378125
SLX-10991.iPCRtagT016.HiSeq2500.bam,5030550,589524120,4975268,584332146,14810,1760823,6890,0.182603795625
SLX-11379.D703-D501.HiSeq4000.bam,23839063,2834306523,23693425,2819567535,1152960,140176164,6824,0.8811148546875
SLX-13222.D701dna-D501dna.HiSeq4000.bam,28256631,4123962547,28153457,4113071238,5589388,822451661,328,1.285334761875
SLX-10575.iPCRtagT015.HiSeq2500.bam,8173070,1001484942,8118363,996461055,44929,5558976,42,0.3113940796875
SLX-11896.D709-D507.HiSeq4000.bam,18053007,2576777262,17885617,2560103220,759557,110409892,372,0.80003225625
SLX-13900.D703-D501.HiSeq4000.bam,18267060,2314945103,18231142,2311471264,4229544,573534694,241467,0.72233477
SLX-13900.D711-D502.HiSeq4000.bam,28154326,4113842800,27987189,4098667732,7443550,1097252757,866,1.28083366625
SLX-12832.D711-D507.HiSeq4000.bam,72942960,10122393088,72757409,10101788243,11915318,1682452981,3674,3.1568088259375
SLX-11896.D705-D507.HiSeq4000.bam,18422258,2244242260,18221278,2226062794,636444,79903938,1493,0.695644623125
SLX-12839.D705-D501.HiSeq4000.bam,31108375,4562445103,30987391,4549530113,3788376,558212829,343,1.4217281603125
SLX-12759.D708-D505.HiSeq4000.bam,12257735,1676468900,12213868,1671917497,2124612,299379275,1493,0.5224742178125
SLX-11043.D705-D505.HiSeq4000.bam,26166608,3759920387,26036209,3746061301,2202139,319791484,419,1.1706441565625
SLX-12832.D701-D505.HiSeq4000.bam,15396125,2022855180,13325574,1744819252,2606884,347954921,1151,0.54525601625
SLX-12534.D710-D503.HiSeq4000.bam,33230827,4819031892,33041295,4798805743,5294466,774040229,1099,1.4996267946875
SLX-11904.D708-D507.HiSeq4000.bam,2175973,315411661,2168501,314564154,224319,32805634,24,0.098301298125
SLX-12759.D703-D504.HiSeq4000.bam,28153643,3897781480,27958244,3881870032,5478331,776363047,5123,1.213084385
SLX-13227.D702-D503.HiSeq2500.bam,11288929,837936111,11176109,831386387,59754,4448546,362,0.2598082459375
SLX-13900.D708-D502.HiSeq4000.bam,23980696,3488289850,23839407,3475890889,6225122,915026988,840,1.0862159028125
SLX-10991.iPCRtagT035.HiSeq2500.bam,9347329,1146884669,9275413,1139740311,77215,9563365,74,0.3561688471875
SLX-11383.D708-D505.HiSeq4000.bam,43895664,6380209514,43764345,6364654590,7785639,1146285612,1129,1.988954559375
SLX-11847.D703-D505.HiSeq4000.bam,20811561,3035170034,20757556,3028676019,3365034,494695805,207,0.9464612559375
SLX-12839.D706-D503.HiSeq4000.bam,27114448,3986273724,27003265,3973931436,3509845,517972133,385,1.24185357375
SLX-11034.A005.HiSeq2500.bam,12353114,1199588468,11262051,1096676408,119105,11608546,11264,0.3427113775
SLX-13710.D705-D504.NextSeq.bam,11875172,879147296,11767742,872671066,218207,16177289,109,0.272709708125
SLX-10572.D703-D503.HiSeq2500.bam,1160413,131954990,1137407,130143602,6148,720899,2856,0.040669875625
SLX-11847.D705-D503.HiSeq4000.bam,42878639,6280821677,42782697,6269322258,7194185,1061417649,648,1.959163205625
SLX-12838.D702-D507.HiSeq4000.bam,47056123,6655986198,46883135,6639322403,6576823,945733141,2792,2.0747882509375
SLX-12531.D704-D503.HiSeq4000.bam,29741154,4305405623,29598106,4290242293,6618509,964347422,966,1.3407007165625
SLX-12841.D702-D503.HiSeq4000.bam,29636323,4222618226,29518007,4211109728,5269377,762206358,5880,1.31597179
SLX-11904.D709-D502.HiSeq4000.bam,12776289,1848230908,12672348,1839998886,1372008,201004680,301,0.574999651875
SLX-11383.D711-D501.HiSeq4000.bam,12922314,1890349381,12886726,1886126806,2288968,337556381,451,0.589414626875
SLX-13710.D708-D501.NextSeq.bam,12205872,903485975,12086269,896234731,232980,17270458,74,0.2800733534375
SLX-10991.iPCRtagT029.HiSeq2500.bam,3619363,394453368,3542383,386205237,36661,4096295,4087,0.1206891365625
SLX-11034.A006.HiSeq2500.bam,15075055,1408480190,14568688,1363174440,131069,12290165,19571,0.4259920125
SLX-11043.D702-D502.HiSeq4000.bam,34779201,5041271367,34633012,5025288664,3156423,461191039,120,1.5704027075
SLX-11383.D710-D502.HiSeq4000.bam,8262314,1193146573,8233317,1189934775,1420778,209146609,370,0.3718546171875
SLX-13223.D701-D501.HiSeq4000.bam,27252717,3857828455,27029115,3836829790,3931867,562158263,6811,1.199009309375
SLX-11034.A002.HiSeq2500.bam,16428702,1642990370,16349269,1634277032,130942,13499902,36427,0.5107115725
SLX-12759.D710-D504.HiSeq4000.bam,10175332,1441129566,10043548,1431855128,1982859,286212725,3363,0.4474547275
SLX-11896.D707-D501.HiSeq4000.bam,18988491,2721273299,18829340,2705133722,853215,124272948,438,0.845354288125
SLX-10572.D705-D501.HiSeq2500.bam,1266335,131370892,1255546,130597271,1998,215458,288,0.0408116471875
SLX-13222.D702dna-D503dna.HiSeq4000.bam,27931132,4051214704,27833492,4040154199,5444646,797304688,813,1.2625481871875
SLX-11034.A023.HiSeq2500.bam,26009959,3190088946,25892526,3176742389,308339,38198194,1323,0.9927319965625
SLX-11904.D708-D502.HiSeq4000.bam,44402427,6445329669,44187810,6422415373,5103187,748247574,336,2.0070048040625
SLX-13621.D707-D502.HiSeq4000.bam,39953759,5705889923,39741147,5686364566,9601605,1385769394,2202,1.776988926875
SLX-12832.D712-D508.HiSeq4000.bam,32903700,4659509034,32794068,4647624888,5734831,822960938,2318,1.4523827775
SLX-12832.D701-D501.HiSeq4000.bam,334232,45960156,225772,31666087,7294,1043853,49,0.0098956521875
SLX-12841.D703-D508.HiSeq4000.bam,133416,18775380,132172,18643940,4902,707381,28,0.00582623125
SLX-13223.D703-D502.HiSeq4000.bam,38257660,5495988560,38000287,5469922798,6019997,872858955,1133,1.709350874375
SLX-11043.D705-D507.HiSeq4000.bam,21511766,3108383032,21422193,3098629728,1850509,269611933,492,0.96832179
SLX-12838.D704-D502.HiSeq4000.bam,10737288,1562676502,10454965,1524040506,1494253,219582132,122,0.476262658125
SLX-10572.D708-D503.HiSeq2500.bam,6964,640208,4526,456708,2,241,0,1.4272125e-4
SLX-11042.D701-D505.HiSeq4000.bam,35583441,5110823853,35361544,5088086987,2332601,337302594,2586,1.5900271834375
SLX-10572.D705-D506.HiSeq2500.bam,909555,98333187,891477,96690091,751,85543,157,0.0302156534375
SLX-12531.D705-D506.HiSeq4000.bam,26181009,3792200154,26071031,3780249754,6285762,917247853,437,1.181328048125
SLX-10991.iPCRtagT003.HiSeq2500.bam,23518005,2776691681,23237191,2747278265,73100,8754689,4435,0.8585244578125
SLX-11873.D707-D503.HiSeq4000.bam,73910448,10588692120,73638379,10559015443,10536254,1528361691,2592,3.2996923259375
SLX-12841.D707-D506.HiSeq4000.bam,30716894,4408540724,30271713,4353363828,6722453,978387940,1918,1.36042619625
SLX-11379.D702-D502.HiSeq4000.bam,24565920,3371341205,24293461,3347271022,1287556,186382800,579,1.046022194375
SLX-11042.D701-D506.HiSeq4000.bam,38818029,5581620195,38616741,5560812088,2361995,342008869,627,1.7377537775
SLX-11870.D710-D502.HiSeq4000.bam,23194867,3372785754,23132068,3365770389,4812164,704541191,168,1.0518032465625
SLX-11904.D710-D506.HiSeq4000.bam,1262675,164965168,1255737,164150195,130670,17501390,861,0.0512969359375
SLX-10572.D704-D501.HiSeq2500.bam,3999299,414127430,3967178,411845221,13900,1467361,591,0.1287016315625
SLX-10572.D705-D502.HiSeq2500.bam,1138592,136882561,1117469,134829031,942,114738,57,0.0421340721875
SLX-11868.D711-D505.HiSeq4000.bam,26020396,3730304113,25924252,3719914192,795216,114955356,128,1.162473185
SLX-11383.D711-D508.HiSeq4000.bam,12789708,1658422115,12776845,1657127101,2185919,291764825,12022,0.5178522190625
SLX-11043.D701-D501.HiSeq4000.bam,31283139,4508450895,31134292,4492895733,2919837,424095870,1523,1.4040299165625
SLX-13710.D703-D503.NextSeq.bam,11423292,845642351,11310723,838825460,219539,16276325,59,0.26213295625
SLX-11896.D709-D501.HiSeq4000.bam,16397766,2330137053,16115789,2302795308,558816,81261135,258,0.71962353375
SLX-10991.iPCRtagT005.HiSeq2500.bam,23406127,2720139494,22945961,2677404498,81592,9621083,9238,0.836688905625
SLX-12758.D702-D501.HiSeq4000.bam,4997211,728220583,4980486,726332475,778771,114316450,26,0.2269788984375
SLX-11896.D708-D502.HiSeq4000.bam,24233519,3456333379,24024427,3434834911,1095778,158773270,586,1.0733859096875
SLX-11896.D702-D501.HiSeq4000.bam,12025338,1621938292,11711018,1590005273,841085,115930213,3504,0.4968766478125
SLX-11043.D703-D504.HiSeq4000.bam,22309606,3221907503,22215393,3211699886,2373657,345501370,794,1.003656214375
SLX-11904.D708-D506.HiSeq4000.bam,850595,123371638,847299,122980799,89524,13094623,29,0.0384314996875
SLX-10572.D701-D505.HiSeq2500.bam,29874499,3411798345,29594168,3392268552,849343,99837007,21748,1.0600839225
SLX-12839.D704-D508.HiSeq4000.bam,28249881,4157771863,28155852,4147310702,3332264,492411437,216,1.296034594375
SLX-12534.D711-D508.HiSeq4000.bam,31547259,4598925532,31437349,4586637245,5228839,767447401,787,1.4333241390625
SLX-13223.D706-D505.HiSeq4000.bam,42341072,6039144707,42106877,6015807955,6445944,931172833,438,1.8799399859375
SLX-12758.D706-D506.HiSeq4000.bam,30869104,4481134804,30777983,4470800236,5733638,838114257,205,1.39712507375
SLX-13900.D706-D508.HiSeq4000.bam,21388545,2896961526,21188726,2876253772,5078052,711221948,1502,0.89882930375
SLX-10991.iPCRtagT009.HiSeq2500.bam,3833120,442119922,3663481,422668199,11412,1335877,2826,0.1320838121875
SLX-11034.A022.HiSeq2500.bam,21624479,2638736295,21510325,2625633164,252803,31185244,910,0.82051036375
SLX-10991.iPCRtagT046.HiSeq2500.bam,9393476,1148817891,9309064,1140513429,114370,14111779,110,0.3564104465625
SLX-12841.D706-D504.HiSeq4000.bam,24783254,3386112987,24377225,3373968486,4530588,637726196,5671,1.054365151875
SLX-11896.D703-D507.HiSeq4000.bam,7390633,883038563,7345597,879021525,228204,28058950,3430,0.2746942265625
SLX-12534.D711-D506.HiSeq4000.bam,42820976,6164654448,42685098,6150159351,6912896,1005153712,1086,1.9219247971875
SLX-11896.D701-D501.HiSeq4000.bam,15154267,1959510816,15021331,1947946695,453080,59565230,8615,0.6087333421875
SLX-12839.D703-D505.HiSeq4000.bam,21073504,3096252230,21001489,3088315933,2749459,405483581,383,0.9650987290625
SLX-11896.D708-D506.HiSeq4000.bam,17136248,2392569526,16978957,2377251310,704723,100356079,538,0.742891034375
SLX-12758.D710-D507.HiSeq4000.bam,44019797,6114545273,43469551,6066452645,7578574,1072321560,17430,1.8957664515625
SLX-11042.D704-D501.HiSeq4000.bam,22133189,3182017379,22043722,3172671954,928842,134565781,468,0.991459985625
SLX-11870.D708-D506.HiSeq4000.bam,28817386,4187196114,28745535,4178602581,6671723,976193094,746,1.3058133065625
SLX-11379.D703-D502.HiSeq4000.bam,19079174,2723200089,19000205,2715409985,1160499,167231381,1119,0.8485656203125
SLX-11383.D710-D501.HiSeq4000.bam,8368477,1212126423,8342853,1209086302,1457798,213623389,931,0.377839469375
SLX-11847.D704-D504.HiSeq4000.bam,14174985,2074670581,14135577,2070133139,2269209,334429557,369,0.6469166059375
SLX-12759.D711-D508.HiSeq4000.bam,24014630,3382585047,23733498,3364596987,5039181,723703801,8877,1.0514365584375
SLX-13710.D701-D501.NextSeq.bam,12434488,920526518,12323046,913834750,230088,17060676,284,0.285573359375
SLX-11379.D704-D506.HiSeq4000.bam,26658543,3823079333,26543422,3810949618,1371764,198573597,994,1.190921755625
SLX-11043.D705-D506.HiSeq4000.bam,29478073,4203886984,29376577,4192825588,2512521,361950842,1427,1.31025799625
SLX-13710.D706-D503.NextSeq.bam,12363790,915197413,12251495,908477752,220946,16379095,258,0.2838992975
SLX-13900.D707-D502.HiSeq4000.bam,27992970,4089868401,27796595,4073720894,8719721,1285266918,579,1.273037779375
SLX-10572.D707-D503.HiSeq2500.bam,3489,334822,2482,257913,9,1099,2,8.05978125e-5
SLX-13621.D710-D501.HiSeq4000.bam,35687437,5145600272,35468180,5121333417,7546371,1095078850,203,1.6004166928125
SLX-13900.D711-D504.HiSeq4000.bam,24160213,3533075805,24035613,3520392240,6361428,937491401,1000,1.100122575
SLX-13227.D711-D503.HiSeq2500.bam,27532370,2041461259,27362199,2030842965,551496,41008684,871,0.6346384265625
SLX-11870.D709-D508.HiSeq4000.bam,27237467,3854627957,27163972,3846414613,5704521,818602220,1886,1.2020045665625
SLX-12531.D705-D505.HiSeq4000.bam,28219673,4080334757,28076964,4065062679,6651270,968972250,489,1.2703320871875
SLX-12534.D709-D503.HiSeq4000.bam,27465719,3989191543,27343877,3975650405,4238967,620424304,357,1.2423907515625
SLX-11870.D712-D502.HiSeq4000.bam,18214908,2655019951,18153517,2648486839,4219186,619149731,276,0.8276521371875
SLX-11896.D707-D504.HiSeq4000.bam,25472458,3636026128,25152648,3604139803,1593907,230557054,423,1.1262936884375
SLX-11043.D705-D508.HiSeq4000.bam,15740625,2280602958,15654202,2271298623,1449531,211774478,165,0.7097808196875
SLX-11042.D706-D502.HiSeq4000.bam,21332479,3048271188,21226885,3037385697,1101022,158824599,576,0.9491830303125
SLX-13900.D710-D506.HiSeq4000.bam,25276960,3687181545,25118245,3672712745,7131718,1049710577,2175,1.1477227328125
SLX-11034.A019.HiSeq2500.bam,18709790,2288830729,18606215,2277193105,227200,28050494,592,0.7116228453125
SLX-12531.D705-D507.HiSeq4000.bam,26636009,3851818880,26524630,3839697315,6117607,891263293,542,1.1999054109375
SLX-11042.D703-D506.HiSeq4000.bam,26179951,3752415349,26065232,3740467459,1449742,209782253,1485,1.1688960809375
SLX-12758.D704-D508.HiSeq4000.bam,8931067,1273763849,8900368,1270561728,1364917,198312809,174,0.39705054
SLX-12759.D707-D506.HiSeq4000.bam,9162213,1081946148,9155279,1081349554,1671379,209151041,22522,0.337921735625
SLX-11896.D704-D506.HiSeq4000.bam,11425918,1244785731,11317999,1235995749,338815,37778755,2936,0.3862486715625
SLX-10572.D706-D507.HiSeq2500.bam,5977,582421,3999,420701,6,697,3,1.314690625e-4
SLX-11904.D708-D501.HiSeq4000.bam,9933203,1439665268,9881149,1433844089,1052722,154117675,101,0.4480762778125
SLX-10991.iPCRtagT004.HiSeq2500.bam,25590995,2969375430,24130443,2801351743,67184,7887182,14789,0.8754224196875
SLX-10572.D701-D508.HiSeq2500.bam,6237875,692145505,6167380,686805599,7450,848691,2105,0.2146267496875
SLX-12531.D708-D501.HiSeq4000.bam,28066928,4065417926,27938945,4051422861,6811199,995020879,724,1.2660696440625
SLX-11873.D707-D504.HiSeq4000.bam,58660004,8403380808,58424528,8376949599,9336335,1353204288,3658,2.6177967496875
SLX-10575.iPCRtagT011.HiSeq2500.bam,11588469,1255527956,11479149,1246769527,70989,8185439,11028,0.3896154771875
SLX-12759.D702-D508.HiSeq4000.bam,13954731,1828594748,13744575,1814146822,2903250,400026792,41533,0.566920881875
SLX-12839.D706-D502.HiSeq4000.bam,27439296,4028611054,27326973,4016569503,3380128,498134257,399,1.2551779696875
SLX-12838.D701-D508.HiSeq4000.bam,60279021,8618915757,59981752,8584741164,7913399,1146399227,1220,2.68273161375
SLX-10575.iPCRtagT012.HiSeq2500.bam,11039163,1244897387,10930243,1235931366,88706,10207378,12778,0.386228551875
SLX-13710.D702-D507.NextSeq.bam,13743958,1017202028,13624590,1009967635,215827,15995429,119,0.3156148859375
SLX-12759.D704-D508.HiSeq4000.bam,11616651,1695481327,11575430,1691140064,2038718,299918533,136,0.52848127
SLX-10991.iPCRtagT019.HiSeq2500.bam,21435601,2493576190,21081857,2457180898,204647,24149848,30427,0.767869030625
SLX-10991.iPCRtagT033.HiSeq2500.bam,7062908,866933509,6983709,859196084,40186,4981259,33,0.26849877625
SLX-11868.D709-D504.HiSeq4000.bam,12002285,1620103006,11398650,1547895847,1985624,274997085,3372,0.4837174521875
SLX-10575.iPCRtagT034.HiSeq2500.bam,9871204,1038480625,9715082,1024310596,61905,6734897,4319,0.32009706125
SLX-12838.D706-D505.HiSeq4000.bam,10463648,1524184654,10380048,1513325599,1553772,228401067,197,0.4729142496875
SLX-10572.D705-D508.HiSeq2500.bam,43772921,4324081550,43414396,4299662495,1039543,107461524,10369,1.3436445296875
SLX-10575.iPCRtagT016.HiSeq2500.bam,11722365,1436259293,11623064,1427419365,117212,14487840,92,0.4460685515625
SLX-11896.D707-D508.HiSeq4000.bam,17235813,2463219679,17077958,2447453497,968562,140163995,297,0.7648292178125
SLX-12759.D710-D502.HiSeq4000.bam,24692309,3001175634,22591162,2931784327,5707840,745731067,8647,0.9161826021875
SLX-11870.D712-D504.HiSeq4000.bam,21046311,3062636184,20968346,3053933603,4879158,714913769,214,0.9543542509375
SLX-13222.D706dna-D507dna.HiSeq4000.bam,33271372,4786038438,33158531,4775306637,6634569,965991441,567,1.4922833240625
SLX-12759.D704-D501.HiSeq4000.bam,27304612,3633084694,27129384,3620408219,4292786,587252411,9863,1.1313775684375
SLX-13223.D701-D502.HiSeq4000.bam,24630945,3524622202,24453578,3507764182,3668158,528714590,2002,1.096176306875
SLX-11873.D707-D502.HiSeq4000.bam,77915777,11186014886,77609717,11150783802,9748263,1415356421,1888,3.484619938125
SLX-11904.D709-D508.HiSeq4000.bam,35011973,5078925103,34871790,5063437329,4603821,673755227,583,1.5823241653125
SLX-10991.iPCRtagT010.HiSeq2500.bam,5343961,619491692,5280737,613312431,23082,2706833,3598,0.1916601346875
SLX-12758.D705-D507.HiSeq4000.bam,19865050,2890930472,19785331,2882073512,3070115,450542682,333,0.9006479725
SLX-12758.D712-D502.HiSeq4000.bam,13134427,1669784278,13111911,1667681958,1751532,230911910,17114,0.521150611875
SLX-12841.D707-D505.HiSeq4000.bam,21632706,3021429427,21540638,3011085212,4152019,592123898,1219,0.94096412875
SLX-13900.D706-D505.HiSeq4000.bam,20006872,2603678692,19265699,2524862497,4763588,650257042,7024,0.7890195303125
SLX-11383.D712-D505.HiSeq4000.bam,12691595,1676088604,12676226,1674538544,2191791,298208588,28248,0.523293295
SLX-13222.D701dna-D503dna.HiSeq4000.bam,29077981,4229270724,28983520,4219011981,5415211,794753088,403,1.3184412440625
SLX-13900.D712-D504.HiSeq4000.bam,17647567,2480710611,17537949,2470610727,4624042,665444544,2337,0.7720658521875
SLX-10572.D702-D504.HiSeq2500.bam,49039441,5496707514,48471710,5453201893,802882,92522581,88103,1.7041255915625
SLX-10575.iPCRtagT018.HiSeq2500.bam,27630117,3257078776,27342655,3232227003,224506,26702392,169612,1.0100709384375
SLX-13227.D710-D503.HiSeq2500.bam,20997112,1556990391,20868990,1548988311,339485,25247804,771,0.4840588471875
SLX-12531.D707-D503.HiSeq4000.bam,31838451,4591222962,31720430,4578355879,7721526,1123635909,521,1.4307362121875
SLX-11896.D707-D502.HiSeq4000.bam,18000632,2586818305,17851050,2571283510,861670,125680323,869,0.803526096875
SLX-12759.D710-D506.HiSeq4000.bam,35711620,4552922854,35226983,4523405524,9588632,1212480556,24573,1.4135642262500001
SLX-12534.D708-D502.HiSeq4000.bam,25171237,3591542360,25080553,3582384256,3999645,577379923,1079,1.11949508
SLX-13710.D705-D505.NextSeq.bam,18005185,1332601922,17842171,1322833255,316115,23435412,745,0.4133853921875
SLX-13222.D706dna-D508dna.HiSeq4000.bam,44569105,6383860195,44138465,6367482991,9023488,1315620554,309,1.9898384346875
SLX-10572.D709-D508.HiSeq2500.bam,3509010,426019110,3462803,422170563,18159,2235554,113,0.1319283009375
SLX-12759.D703-D501.HiSeq4000.bam,24034951,3418128772,23628452,3372861068,5289001,766428712,30362,1.05401908375
SLX-12838.D704-D504.HiSeq4000.bam,7938807,1142660349,7893644,1137456411,1006070,146521861,284,0.3554551284375
SLX-11379.D704-D507.HiSeq4000.bam,29874471,4159312773,29648445,4138367799,1422751,206161507,317,1.2932399371875
SLX-11043.D706-D505.HiSeq4000.bam,18782871,2721549908,18693136,2711797598,1791081,261603360,301,0.847436749375
SLX-12838.D705-D506.HiSeq4000.bam,8610150,1229966117,8570394,1225731152,1065527,154953422,1098,0.383040985
SLX-13900.D702-D508.HiSeq4000.bam,16767346,1848611353,16751429,1847343011,3362527,405986307,16106,0.5772946909375
SLX-12838.D705-D508.HiSeq4000.bam,10207161,1413359045,10179452,1410500583,1313197,185924174,786,0.4407814321875
SLX-10575.iPCRtagT035.HiSeq2500.bam,8838687,1027754528,8777528,1022549019,55809,6628115,408,0.3195465684375
SLX-11042.D705-D503.HiSeq4000.bam,23897296,3432684706,23756913,3418170660,1408983,204110256,700,1.06817833125
SLX-11868.D711-D508.HiSeq4000.bam,54894606,7928780031,54636946,7901207887,1971228,287233956,1281,2.4691274646875
SLX-12838.D701-D507.HiSeq4000.bam,45478627,6470462712,45207010,6441222442,5729854,829520973,1660,2.012882013125
SLX-11868.D712-D505.HiSeq4000.bam,13944447,2010378175,13854707,2000882711,396874,57648609,121,0.6252758471875
SLX-12759.D702-D502.HiSeq4000.bam,39028665,5353772412,38321909,5312400370,11425076,1620167376,32110,1.660125115625
SLX-11379.D704-D505.HiSeq4000.bam,19262610,2745255133,19154386,2734217237,967794,140001205,993,0.8544428865625
SLX-11847.D703-D508.HiSeq4000.bam,14137409,2062518395,14101610,2058198543,2340401,344116236,137,0.6431870446875
SLX-10572.D707-D507.HiSeq2500.bam,1443763,174921762,1427269,173533946,7850,962506,23,0.054229358125
SLX-10575.iPCRtagT013.HiSeq2500.bam,3207258,356219873,3181786,354164242,16954,1918889,4739,0.110676325625
SLX-13621.D704-D502.HiSeq4000.bam,28728818,4117198299,28591508,4102479258,5743578,828869157,1463,1.282024768125
SLX-10572.D708-D507.HiSeq2500.bam,1143588,139275224,1133289,138376782,7884,967943,10,0.043242744375
SLX-10572.D702-D502.HiSeq2500.bam,904332,100647068,848633,94717408,351,40605,293,0.02959919
SLX-12758.D706-D508.HiSeq4000.bam,25769585,3716579357,25688629,3708598783,4409542,641653187,274,1.1589371196875
SLX-12839.D701-D503.HiSeq4000.bam,15543183,2275335555,15486265,2269320154,1735788,254992840,574,0.709162548125
SLX-12832.D701-D502.HiSeq4000.bam,84762332,11332844407,71662146,9517668296,12277092,1667309039,1780,2.9742713425
SLX-11868.D712-D507.HiSeq4000.bam,16797736,2420168133,16703825,2410148803,471106,68354676,175,0.7531715009375
SLX-11870.D707-D508.HiSeq4000.bam,41573827,6039796575,41460751,6026426757,10688722,1563978232,479,1.8832583615625
SLX-12839.D702-D503.HiSeq4000.bam,10606986,1547908615,10557174,1543329345,1253184,183768334,70,0.4822904203125
SLX-10572.D709-D507.HiSeq2500.bam,348234,42164052,343599,41774072,641,78858,7,0.0130543975
SLX-11868.D709-D501.HiSeq4000.bam,10220920,1396838132,9416429,1295215121,2096380,294944658,9317,0.4047547253125
SLX-10575.iPCRtagT043.HiSeq2500.bam,11575217,1226723854,11447187,1215323719,722441,79670530,11641,0.3797886621875
SLX-13900.D706-D507.HiSeq4000.bam,20966412,2834256167,20754674,2815365693,5132154,719677904,52149,0.8798017790625
SLX-12839.D701-D501.HiSeq4000.bam,19298086,2813341957,19173297,2802564524,2350765,344502888,3876,0.87580141375
SLX-12839.D704-D505.HiSeq4000.bam,14233734,2093584116,14190229,2088724708,1446673,213586726,175,0.65272647125
SLX-12839.D701-D504.HiSeq4000.bam,8298840,1214022492,8265163,1210483197,925028,135828056,202,0.3782759990625
SLX-11868.D709-D502.HiSeq4000.bam,24705094,3429338777,24548608,3413017413,1207541,169981023,9394,1.0665679415625
SLX-11873.D708-D502.HiSeq4000.bam,66560907,8561224532,57512636,7344113608,6624311,860490799,6826,2.2950355025
SLX-10572.D709-D504.HiSeq2500.bam,3496058,424405581,3449256,420460301,27633,3391541,44,0.1313938440625
SLX-11896.D707-D507.HiSeq4000.bam,12935214,1833230249,12792971,1819045014,613535,88947127,382,0.568451566875
SLX-10572.D707-D506.HiSeq2500.bam,629728,76305976,622483,75717707,924,113547,7,0.0236617834375
SLX-10575.iPCRtagT022.HiSeq2500.bam,9038154,1034202541,8974820,1028863343,22999,2688704,8613,0.3215197946875
SLX-10572.D701-D504.HiSeq2500.bam,39711028,4406017272,39110538,4350258999,281832,32192923,21985,1.3594559371875
SLX-13900.D709-D502.HiSeq4000.bam,22044967,3215888277,21923021,3204525856,5719272,841056839,1118,1.00141433
SLX-11043.D706-D508.HiSeq4000.bam,17161869,2479270215,17061964,2468912732,1707622,248907999,474,0.77153522875
SLX-11034.A010.HiSeq2500.bam,12993299,1594698741,12881501,1581530211,156132,19301649,311,0.4942281909375
SLX-11873.D709-D503.HiSeq4000.bam,50590808,5857961264,50464051,5845662183,5457689,637525446,11624,1.8267694321875
SLX-12758.D705-D508.HiSeq4000.bam,29517998,4295280497,29412400,4283588207,4883912,716068325,382,1.3386213146875
SLX-11043.D702-D501.HiSeq4000.bam,28821024,4174506283,28708676,4162272927,2615288,381890747,142,1.3007102896875
SLX-10991.iPCRtagT017.HiSeq2500.bam,4733371,551280489,4668826,544656328,18855,2215460,5771,0.1702051025
SLX-11868.D708-D502.HiSeq4000.bam,22576914,3237959924,22440633,3223124064,756966,109388321,30277,1.00722627
SLX-12832.D710-D501.HiSeq4000.bam,30868309,4425117425,30786195,4416327271,5353990,776848169,9086,1.3801022721875
SLX-12531.D705-D508.HiSeq4000.bam,30065202,4349503979,29928998,4334754403,7246501,1056160610,480,1.3546107509375
SLX-12838.D704-D503.HiSeq4000.bam,9093639,1313970777,9017198,1304355492,1177750,172061475,135,0.40761109125
SLX-13223.D703-D503.HiSeq4000.bam,37524450,5231031230,37274472,5206437270,5594858,790029473,1256,1.627011646875
SLX-11904.D708-D508.HiSeq4000.bam,12215866,1742743388,12177942,1738400252,1288063,185955714,90,0.54325007875
SLX-11034.A018.HiSeq2500.bam,23245346,2809008966,23020318,2784817527,264303,32046810,185543,0.8702554771875
